example_id,youtube_id,start_s,duration_s,caption,labels,audio_path,mel_path
00024_-ByoSbgzr4M,-ByoSbgzr4M,0.0,10.0,"This clip is an electronic guitar instrumental. The tempo is fast with a vigorous, lively electric guitar lead without any instrumentation. The music is rapid,controlled, intense and vigorous with immense control and dexterity with the instrument.","[""['instrumental'"", ""'electric guitar'"", ""'stringed instrument'"", ""'vibrato'"", ""'sonic power'"", ""'amplified guitar'"", ""'fast tempo'"", ""'rapid'"", ""'vigorous'"", ""'dexterous'"", ""'skilled'"", ""'practice'"", ""'intense'"", ""'rock'"", ""'hard rock'"", ""'home recording']""]",data/processed/musiccaps/audio/00024_-ByoSbgzr4M.wav,data/processed/musiccaps/mel/00024_-ByoSbgzr4M.npy
00025_-CUp_Tmg2Y0,-CUp_Tmg2Y0,30.0,10.0,"The low quality recording features a drum solo that consists of a double pedal kick, punchy snare, shimmering cymbals and boomy toms. It sounds energetic and manic, thanks to that kick pattern. The recording is mono and noisy.","[""['low quality'"", ""'mono'"", ""'noisy'"", ""'drums solo'"", ""'double pedal kick'"", ""'punchy snare'"", ""'shimmering cymbals'"", ""'boomy toms'"", ""'energetic'"", ""'manic']""]",data/processed/musiccaps/audio/00025_-CUp_Tmg2Y0.wav,data/processed/musiccaps/mel/00025_-CUp_Tmg2Y0.npy
00026_-DeAdhYKbGE,-DeAdhYKbGE,290.0,10.0,"A bagpipe ensemble playing a quick melody in unison, employing trills to ornament it.","[""['bagpipe ensemble'"", ""'unison melody'"", ""'drone'"", ""'quick melody'"", ""'trills'"", ""'ornamentation']""]",data/processed/musiccaps/audio/00026_-DeAdhYKbGE.wav,data/processed/musiccaps/mel/00026_-DeAdhYKbGE.npy
00027_-Dtir74TiUM,-Dtir74TiUM,40.0,10.0,This is a drum & bass music piece. There is a constantly repeating hollering sample accompanied by rapid turntable scratching. A synth sound can be heard playing an ominous tune. The rhythmic background consists of a fast-tempo electronic drum beat. The atmosphere is energetic. This piece could be used in the soundtrack of a car racing game. It could also be playing at nightclubs during early-2000s themed parties.,"[""['drum & bass'"", ""'electronic dance music'"", ""'hollering sample'"", ""'scratching'"", ""'synth'"", ""'electronic drums'"", ""'upbeat'"", ""'energetic'"", ""'eerie']""]",data/processed/musiccaps/audio/00027_-Dtir74TiUM.wav,data/processed/musiccaps/mel/00027_-Dtir74TiUM.npy
00028_-EVRXQpt1-8,-EVRXQpt1-8,50.0,10.0,"Someone is playing a guitar-like instrument in a tremolo fashion along with someone playing a melody on a harp along with a bass playing the root note. A male voice is singing, sounding sad and sensitive. A backing voice that seems to be female is singing along, providing harmonies. This song may be playing in a dance performance.","[""['oriental/ballad'"", ""'guitar like instrumental'"", ""'bass'"", ""'male voice singing'"", ""'female backing voice singing'"", ""'sad'"", ""'slow tempo'"", ""'harp']""]",data/processed/musiccaps/audio/00028_-EVRXQpt1-8.wav,data/processed/musiccaps/mel/00028_-EVRXQpt1-8.npy
00029_-FEPOSP7ay0,-FEPOSP7ay0,260.0,10.0,The low quality recording features loud bells and metallic squeaking sounds. The recording is mono and noisy.,"[""['loud bells impacts'"", ""'metallic squeaking sound'"", ""'low quality'"", ""'mono'"", ""'noisy']""]",data/processed/musiccaps/audio/00029_-FEPOSP7ay0.wav,data/processed/musiccaps/mel/00029_-FEPOSP7ay0.npy
00030_-FFx68qSAuY,-FFx68qSAuY,190.0,10.0,This is a punk rock music piece. There are male vocals singing in a grunt-like manner. The melody is being played by an electric guitar while a bass guitar plays in the background. The rhythm consists of a slightly fast-paced rock acoustic drum beat. The piece has an aggressive atmosphere. It could be used in the soundtrack of an action-filled video game.,"[""['punk rock'"", ""'gothic rock'"", ""'male vocals'"", ""'grunt-like singing'"", ""'electric guitar'"", ""'bass guitar'"", ""'acoustic guitar'"", ""'hard-hitting'"", ""'aggressive']""]",data/processed/musiccaps/audio/00030_-FFx68qSAuY.wav,data/processed/musiccaps/mel/00030_-FFx68qSAuY.npy
00031_-FlvaZQOr2I,-FlvaZQOr2I,90.0,10.0,"The song is an instrumental. The song is medium tempo, with a horn and string section and a drum section playing to a crescendo, followed by a low frequency thumping rhythm. The song is an instrumental soundtrack for an animated show. The audio quality is poor.","[""['building suspense'"", ""'cartoon show soundtrack'"", ""'story telling'"", ""'tense harmony'"", ""'drumming rolls'"", ""'poor audio quality'"", ""'instrumental music'"", ""'medium tempo'"", ""'suspense'"", ""'mystery'"", ""'string section harmony'"", ""'animated show'"", ""'horns playing to a crescendo'"", ""'low bass thumps']""]",data/processed/musiccaps/audio/00031_-FlvaZQOr2I.wav,data/processed/musiccaps/mel/00031_-FlvaZQOr2I.npy
00032_-Gf4Ihv1zwc,-Gf4Ihv1zwc,50.0,10.0,This is a Christmas music piece with heavy influences from Celtic music. There is a female vocalist singing melodically as the lead. The melodic background is provided by the strings and the piano and at the same time Celtic instruments that resemble a harp and a dulcimer. There is a calming and positive aura to this piece. It could be playing in the background at a Christmas party. It could also be used in Christmas-themed shows or social media content.,"[""['christmas'"", ""'festive'"", ""'celtic'"", ""'female vocal'"", ""'melodic singing'"", ""'strings'"", ""'piano'"", ""'harp'"", ""'dulcimer'"", ""'calming'"", ""'positive']""]",data/processed/musiccaps/audio/00032_-Gf4Ihv1zwc.wav,data/processed/musiccaps/mel/00032_-Gf4Ihv1zwc.npy
00033_-IZbvEO9wzU,-IZbvEO9wzU,30.0,10.0,This is a heavily edited version of a birthday song. The track has been transposed to make the original vocal sound like a little girl which resulted in a chipmunk vocal effect. The piano playing the melody and the electronic drum beat is at an irritatingly higher pitch than normal. This creates a bizarre atmosphere. It could be used in nightmare sequences in video games or TV shows.,"[""['jingle'"", ""'chipmunk vocal'"", ""'transposed instruments'"", ""'piano'"", ""'electronic drums'"", ""'high pitch'"", ""'irritating'"", ""'poor quality'"", ""'bizarre']""]",data/processed/musiccaps/audio/00033_-IZbvEO9wzU.wav,data/processed/musiccaps/mel/00033_-IZbvEO9wzU.npy
00034_-JVWfFPBl84,-JVWfFPBl84,330.0,10.0,"This audio clip features the sound produced at a particular frequency by a Tibetan singing bowl. This produces a continuous ringing sound. Toward the end of the clip, some other animal sounds can be heard. There are no other instruments in this song. This song can be played at a meditation center.","[""['low quality audio'"", ""'tibetan singing bowl'"", ""'animal sounds'"", ""'no other instruments'"", ""'no voices'"", ""'instrumental'"", ""'meditation music']""]",data/processed/musiccaps/audio/00034_-JVWfFPBl84.wav,data/processed/musiccaps/mel/00034_-JVWfFPBl84.npy
00035_-JvB5AL59fM,-JvB5AL59fM,30.0,10.0,An acoustic drum is playing a simple rock groove with some drum fills on the toms and snare along with a distorted e-bass and e-guitar playing the same line. Panned to the right side of the speaker you can hear a piano sound playing a little melody. A female voice is singing a happy sounding melody while male backing voices are supporting her. This song may be playing sitting in your room enjoying being at home alone.,"[""['rock'"", ""'e-guitars'"", ""'e-bass'"", ""'acoustic drums'"", ""'keys'"", ""'female voice singing'"", ""'male backing voice'"", ""'uptempo']""]",data/processed/musiccaps/audio/00035_-JvB5AL59fM.wav,data/processed/musiccaps/mel/00035_-JvB5AL59fM.npy
00036_-M-6VinyMiY,-M-6VinyMiY,30.0,10.0,"The low quality recording features a rock song that consists of flat male vocal singing over sustained and arpeggiated electric guitar melodies, followed by snappy rimshots, soft kick, shimmering hi hats and groovy bass guitar. It sounds emotional and easygoing.","[""['low quality'"", ""'rock'"", ""'flat male vocal'"", ""'groovy bass guitar'"", ""'sustained electric guitar melody'"", ""'arpeggiated electric guitar melody'"", ""'snappy rimshot'"", ""'soft kick'"", ""'shimmering hi hats'"", ""'easygoing'"", ""'emotional']""]",data/processed/musiccaps/audio/00036_-M-6VinyMiY.wav,data/processed/musiccaps/mel/00036_-M-6VinyMiY.npy
00037_-M6K3QoHh40,-M6K3QoHh40,30.0,10.0,"The low quality recording features a R&B song playing on a speaker, judging by the reverberant and boomy sound of it. The song consists of passionate male vocal singing over shimmering hi hats, claps, groovy bass and ""4 on the floor"" kick pattern, It sounds passionate, like something you would dance to with your partner.","[""['low quality'"", ""'r&b'"", ""'boomy'"", ""'passionate male vocal'"", ""'claps'"", ""'shimmering hi hats'"", ""'groovy bass'"", ""'noisy'"", ""'passionate'"", ""'speaker'"", ""'reverberant'"", ""'4 on the floor kick']""]",data/processed/musiccaps/audio/00037_-M6K3QoHh40.wav,data/processed/musiccaps/mel/00037_-M6K3QoHh40.npy
00038_-NmjCyqIavI,-NmjCyqIavI,30.0,10.0,This is an amateur recording of a female voice beatboxing. It is a funny recording. It could be playing in the background of comedic social media content.,"[""['amateur recording'"", ""'beatboxing'"", ""'female voice'"", ""'funny'"", ""'comedic']""]",data/processed/musiccaps/audio/00038_-NmjCyqIavI.wav,data/processed/musiccaps/mel/00038_-NmjCyqIavI.npy
00039_-O9mnfC61Ac,-O9mnfC61Ac,0.0,10.0,"This is a country music piece. There is a fiddle playing the main melody. The acoustic guitar and the electric guitar are playing gently in the background. The song has a slow tempo. The atmosphere is sentimental. This piece can be used in the soundtrack of an American drama movie, especially during the scenes where the feeling of longing is emphasized.","[""['country music'"", ""'fiddle'"", ""'acoustic guitar'"", ""'electric guitar'"", ""'gentle playing'"", ""'slow tempo'"", ""'easygoing'"", ""'sentimental'"", ""'longing']""]",data/processed/musiccaps/audio/00039_-O9mnfC61Ac.wav,data/processed/musiccaps/mel/00039_-O9mnfC61Ac.npy
00040_-OAyRsvFGgc,-OAyRsvFGgc,30.0,10.0,"The low quality recording features a cover of a rock song that consists of an electric guitar solo melody played over playback instrumental. The instrumental features a punchy kick and snare hits, soft cymbals and smooth bass. It sounds passionate, even though the recording is muffled and noisy, as it was probably recorded with a phone.","[""['low quality'"", ""'noisy'"", ""'cover'"", ""'rock'"", ""'electric guitar solo melody'"", ""'playback instrumental'"", ""'punchy snare'"", ""'punchy kick'"", ""'smooth bass'"", ""'soft cymbals'"", ""'passionate'"", ""'muffled']""]",data/processed/musiccaps/audio/00040_-OAyRsvFGgc.wav,data/processed/musiccaps/mel/00040_-OAyRsvFGgc.npy
00041_-OUIEnuNd1I,-OUIEnuNd1I,30.0,10.0,This is a classical music piece belonging to the baroque period. The piece is being performed with a harp. There is a catchy tune being played with a positive aura. This piece could suit well as wedding music. It could be used in the soundtrack of a documentary. It could also be playing in the background of a classy restaurant or a museum.,"[""['classical'"", ""'baroque'"", ""'canon'"", ""'single instrument'"", ""'instrumental'"", ""'harp'"", ""'catchy'"", ""'iconic'"", ""'calming'"", ""'hopeful'"", ""'positive'"", ""'wedding music']""]",data/processed/musiccaps/audio/00041_-OUIEnuNd1I.wav,data/processed/musiccaps/mel/00041_-OUIEnuNd1I.npy
00042_-Q9MTRXS4bE,-Q9MTRXS4bE,30.0,10.0,"This music is a spirited instrumental. The tempo is fast with an animated Piano harmony, synthesiser  arrangements, synthesised violins, rhythmic digital drums, funky bass lines and electronic sounds. The music is superimposed over sounds of tapping and rhythmic beeping. The music is happy, perky, upbeat, enthusiastic, lively and spirited.","[""['instrumental'"", ""'fast tempo'"", ""'happy'"", ""'perky'"", ""'punchy'"", ""'background sounds super imposed by music'"", ""'digital pads'"", ""'lively'"", ""'synthesised violins'"", ""'upbeat'"", ""'synthesiser arrangements'"", ""'lively piano harmony'"", ""'punchy digital drum rhythm'"", ""'sound of beeping'"", ""'funky bass line'"", ""'tapping']""]",data/processed/musiccaps/audio/00042_-Q9MTRXS4bE.wav,data/processed/musiccaps/mel/00042_-Q9MTRXS4bE.npy
00043_-QuWdnmn-kM,-QuWdnmn-kM,30.0,10.0,This is a lullaby that features a main melody made with a xylophone that has a bright sound. A sustained piano synth creates a dreamy and sleepy ambience sound. A subtle cello plays single chords that bounce from one beat to the next. This is a song a baby could fall asleep to.,"[""['sustained piano synth'"", ""'lullaby'"", ""'bright xylophone'"", ""'mellow mellody'"", ""'bass guitar'"", ""'dreamy'"", ""'kids music'"", ""'slow tempo'"", ""'nostalgic'"", ""'cello'"", ""'no vocals'"", ""'sleepy']""]",data/processed/musiccaps/audio/00043_-QuWdnmn-kM.wav,data/processed/musiccaps/mel/00043_-QuWdnmn-kM.npy
00044_-R0267o4lLk,-R0267o4lLk,60.0,10.0,You can hear two people playing various percussive instruments. One is holding the same beat playing on congas while the other is playing a solo changing rhythms and percussive sounds in a complex manner. This song may be playing live demonstrating a solo run.,"[""['latin percussion'"", ""'complex rhythms'"", ""'medium to uptempo']""]",data/processed/musiccaps/audio/00044_-R0267o4lLk.wav,data/processed/musiccaps/mel/00044_-R0267o4lLk.npy
00045_-RYtUAsNhF0,-RYtUAsNhF0,30.0,10.0,"This is a poor quality instrumental piece played in the background of a sign language video. There is an optimistic sounding tune being played by the strings, the piano and the acoustic guitar. The atmosphere is mellow and gentle. Samples from this piece could be lifted to be used in beat-making.","[""['poor quality'"", ""'no singer'"", ""'instrumental'"", ""'piano'"", ""'strings'"", ""'acoustic guitar'"", ""'gentle'"", ""'mellow'"", ""'optimistic']""]",data/processed/musiccaps/audio/00045_-RYtUAsNhF0.wav,data/processed/musiccaps/mel/00045_-RYtUAsNhF0.npy
00046_-SD43H5B5hE,-SD43H5B5hE,520.0,10.0,There is a low sound that reminds of a heartbeat rising in tempo before a splash-like metallic sound with reverb comes in and breaks the atmosphere in half. This audio may be used for a movie scene. This audio is in poor quality.,"[""['soundeffects'"", ""'cinematic'"", ""'amateur recording']""]",data/processed/musiccaps/audio/00046_-SD43H5B5hE.wav,data/processed/musiccaps/mel/00046_-SD43H5B5hE.npy
